country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,87,87,87,87,87,,87,87,87,87,87
Afghanistan,18,25,32,31,39,45,51,56,54,49,51,49,49,50,50,55,63,68,69,73,61
Angola,33,42,53,60,54,52,66,52,54,48,50,51,54,60,54,58,57,51,61,66,55
Anguilla,,0,0,0,0,,0,0,,,35,0,0,0,31,0,0,,0,,
Albania,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,56
Andorra,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Netherlands Antilles,87,87,87,87,87,,87,,,,,,,,,,,,,,
UAE,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,79
Argentina,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,66
Armenia,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,58
American Samoa,87,87,87,87,87,87,87,87,87,87,87,87,,,,87,,87,,87,2400
Antigua and Barbuda,87,87,87,87,,87,87,87,87,87,87,87,87,87,87,,87,87,87,,87
Australia,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Austria,87,87,87,87,87,87,87,87,,87,87,87,87,87,87,87,87,87,87,87,87
Azerbaijan,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,62
Burundi,35,37,38,43,46,46,44,47,52,57,61,54,56,61,58,56,61,63,58,55,58
Belgium,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Benin,45,45,48,50,54,56,62,61,64,63,60,66,62,60,61,63,61,55,62,65,58
Burkina Faso,28,29,29,31,34,41,45,45,47,52,53,58,57,58,59,60,60,59,63,51,59
Bangladesh,27,27,28,30,32,40,47,47,47,50,47,47,51,55,56,60,64,69,75,81,64
Bulgaria,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,90,68
Bahrain,87,87,87,87,87,87,87,87,87,87,87,87,87,87,,,87,87,87,87,87
Bahamas,87,,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Bosnia and Herzegovina,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,65,42
Belarus,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,62
Belize,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,84
Bermuda,,,,,87,,87,,,,87,87,87,,,,87,87,87,87,87
Bolivia,65,69,67,66,66,67,63,60,65,64,62,64,63,64,63,61,61,61,62,61,49
Brazil,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,89,78
Barbados,87,87,87,,87,,87,87,87,87,87,,87,87,87,,87,,87,,87
Brunei,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Bhutan,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,72
Botswana,62,65,70,70,74,77,68,66,78,77,68,68,75,80,75,66,77,80,75,53,45
Central African Republic,,13,24,19,18,15,27,,29,37,28,24,34,36,42,43,42,39,43,47,48
Canada,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,79
Switzerland,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Chile,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
China,33,35,35,48,64,75,81,86,88,88,88,88,88,88,88,88,87,87,92,87,74
Cote d'Ivoire,25,28,28,32,39,40,44,52,55,54,56,57,62,66,62,61,59,58,59,60,55
Cameroon,11,22,21,30,32,39,43,44,45,46,45,47,48,50,52,53,53,51,50,53,48
"Congo, Dem. Rep.",40,42,43,48,54,54,52,52,53,55,54,50,48,48,48,48,51,57,63,64,70
"Congo, Rep.",83,80,75,55,66,64,54,56,55,60,62,65,66,61,56,54,55,52,54,59,53
Cook Is,87,87,87,,87,87,87,,87,87,,87,87,87,87,,87,,,43,43
Colombia,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,64
Comoros,57,65,52,34,41,50,50,,60,57,,48,48,48,56,,59,45,42,64,51
Cape Verde,,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,95
Costa Rica,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,65
Cuba,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,81
Cayman Islands,87,87,,,87,,,87,87,87,87,87,87,87,,87,87,87,87,87,87
Cyprus,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,49
Czech Republic,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Germany,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Djibouti,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,77
Dominica,,,87,,,,87,87,87,87,87,87,87,87,87,87,87,87,87,87,
Denmark,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,74
Dominican Republic,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,58
Algeria,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,66
Ecuador,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,62
Egypt,61,61,66,69,71,71,63,63,62,64,63,61,58,55,53,58,61,64,68,69,61
Eritrea,160,66,66,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,55
Spain,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Estonia,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Ethiopia,33,34,40,43,46,48,48,51,57,62,66,69,66,62,59,70,68,67,69,71,71
Finland,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Fiji,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,73
France,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
"Micronesia, Fed. Sts.",80,80,80,80,80,80,80,80,80,80,80,80,80,,80,80,80,80,80,80,110
Gabon,,36,28,28,32,31,37,45,53,35,42,47,51,52,55,55,52,48,51,48,42
UK,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89
Georgia,40,38,46,60,49,61,67,69,76,100,90,91,82,73,75,79,81,76,73,73,60
Ghana,26,28,27,27,27,27,28,28,31,33,32,34,33,34,33,32,32,32,32,34,29
Guinea,29,31,33,36,39,36,46,49,53,44,58,60,60,59,60,60,61,65,65,73,66
Gambia,63,66,70,70,75,69,60,62,69,68,62,70,69,67,72,70,69,68,65,71,64
Guinea-Bissau,35,,38,37,40,37,43,,41,41,40,37,33,35,37,34,35,34,30,35,36
Equatorial Guinea,,,,,40,,,,40,40,40,40,,,40,40,40,40,40,39,34
Greece,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,80
Grenada,,,87,87,87,,87,87,87,87,87,87,87,,,87,87,87,87,87,32
Greenland,,,,,,,,,,87,87,87,87,87,87,87,87,87,87,87,87
Guatemala,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,56
Guam,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Guyana,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,59
"Hong Kong, China",87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,86
Honduras,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,62
Croatia,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,65
Haiti,46,43,50,57,58,57,56,58,61,63,62,68,76,79,75,78,75,75,69,68,59
Hungary,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Indonesia,11,12,19,22,26,31,34,34,36,36,36,38,39,39,38,39,43,52,67,66,47
India,37,35,34,34,36,36,39,41,42,44,44,44,43,43,56,59,63,60,71,82,63
Ireland,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Iran,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,57
Iraq,82,87,97,93,82,73,62,60,69,70,72,65,63,63,62,62,57,62,61,60,46
Iceland,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,120
Israel,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Italy,87,87,87,87,87,87,87,87,87,87,87,87,87,87,,87,87,87,87,87,54
Jamaica,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,87
Jordan,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,52
Japan,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Kazakhstan,100,95,95,120,96,100,98,100,92,100,100,110,88,100,97,99,94,100,100,98,74
Kenya,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,52,63,60,51
Kyrgyz Republic,87,87,87,180,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,62
Cambodia,27,27,35,41,45,52,52,54,60,62,65,62,66,63,74,62,61,65,57,63,63
Kiribati,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,76
St. Kitts and Nevis,,87,87,87,87,,87,87,87,87,87,87,87,,87,,,87,,87,87
South Korea,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
Kuwait,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Lao,13,14,16,17,20,24,27,27,28,28,29,32,31,32,35,37,42,49,57,61,74
Lebanon,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,76
Liberia,22,24,45,32,53,40,49,,49,55,58,66,64,57,37,42,50,53,53,54,44
Libya,63,,83,85,73,91,86,89,83,86,,61,62,53,45,38,44,52,68,56,43
St. Lucia,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,200
Sri Lanka,68,60,71,73,68,73,67,68,71,72,74,75,67,68,69,68,64,61,64,61,51
Lesotho,58,37,49,59,50,45,50,54,49,50,49,52,51,50,51,47,49,50,51,51,33
Lithuania,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Luxembourg,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Latvia,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,,,
"Macao, China",87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Morocco,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,80
Monaco,,,,,,,,,,,87,,,,,,87,,87,,
Moldova,87,87,87,170,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,59
Madagascar,,35,37,41,42,40,45,45,44,45,48,50,49,50,52,52,50,53,55,59,55
Maldives,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,53
Mexico,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,57
Marshall Islands,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,51
North Macedonia,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,58
Mali,50,52,52,52,52,53,56,57,65,71,56,57,56,59,60,68,68,63,68,67,66
Malta,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Myanmar,12,16,22,29,36,40,46,49,47,49,52,56,61,60,64,67,70,69,76,77,62
Montenegro,,,,,,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,40
Mongolia,30,34,37,37,42,43,46,42,40,39,38,36,34,35,36,36,34,32,29,31,27
Northern Mariana Islands,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Mozambique,36,36,40,44,46,47,48,50,50,53,52,51,53,58,61,60,72,83,87,88,84
Mauritania,47,,,,59,39,51,58,54,54,52,39,58,51,55,50,56,59,59,62,58
Montserrat,,,,87,,87,,87,,,,,,,,,,,,,
Mauritius,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,64
Malawi,55,58,52,58,55,51,49,48,47,45,43,41,45,43,44,48,51,58,56,62,56
Malaysia,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,77
Namibia,61,65,60,62,63,62,61,60,62,59,60,61,60,60,59,65,62,63,61,64,56
New Caledonia,87,87,87,87,87,87,87,87,87,87,87,87,87,,87,87,87,87,87,87,140
Niger,22,24,25,35,35,40,44,49,49,54,54,56,59,60,57,54,52,54,55,59,56
Nigeria,9.6,17,14,15,19,21,23,26,26,26,24,24,25,25,22,22,24,24,24,27,30
Nicaragua,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,67
Niue,,,87,,,,,,,,,87,,,,,,,87,,130
Netherlands,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Curaçao,,,,,,,,,,,87,87,87,87,87,87,87,87,,,
Norway,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Nepal,30,30,31,35,34,36,36,37,37,41,42,43,45,44,48,46,44,45,46,46,40
Nauru,87,87,87,87,,87,87,87,87,87,87,87,,,87,87,87,87,87,87,66
New Zealand,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Oman,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Pakistan,2.8,5.2,12,17,22,32,39,50,52,55,53,52,52,55,58,60,65,65,64,58,48
Panama,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,81
Peru,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,83,82,62
Philippines,26,23,26,29,28,29,32,30,29,30,33,38,41,43,44,49,58,54,63,68,43
Palau,,,87,87,87,87,87,87,,87,87,87,87,87,87,87,87,87,87,87,87
Papua New Guinea,42,49,42,48,46,45,44,51,46,40,46,46,62,67,76,75,77,72,75,81,72
Poland,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Puerto Rico,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
North Korea,29,25,34,41,37,35,36,47,58,61,67,72,72,76,80,87,87,77,69,73,66
Portugal,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88
Paraguay,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,69
Palestine,80,80,,80,80,80,80,80,80,80,80,80,80,,80,80,80,80,80,80,110
French Polynesia,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,,87
Qatar,87,87,87,87,87,87,87,87,87,87,87,87,87,,87,87,87,87,87,87,87
Romania,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,58
Russia,100,99,99,100,97,100,99,99,100,100,100,97,96,100,100,100,100,99,99,100,87
Rwanda,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,73
Saudi Arabia,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Serbia and Montenegro,87,87,87,87,87,,,,,,,,,,,,,,,,
Sudan,50,50,50,50,50,50,50,50,50,50,50,52,50,52,54,55,63,65,67,69,62
Senegal,56,56,54,61,58,62,64,64,68,67,66,65,71,75,75,74,71,72,71,70,65
Singapore,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Solomon Islands,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,71
Sierra Leone,27,32,31,33,33,38,44,49,55,58,63,61,62,56,57,54,63,71,75,77,66
El Salvador,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,57
San Marino,87,,87,87,,,,,,,,,,,,,,,,,
Somalia,22,26,27,33,41,43,39,35,38,33,29,33,33,35,35,37,37,43,42,42,42
Serbia,,,,,,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,38
South Sudan,,,,,,,,,,,,32,37,27,35,40,44,41,59,65,62
Sao Tome and Principe,57,57,57,240,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,36
Suriname,80,80,80,80,80,80,80,,80,80,80,80,80,80,80,80,80,80,80,80,61
Slovak Republic,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Slovenia,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Sweden,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Eswatini,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,69,58
Sint Maarten (Dutch part),,,,,,,,,,,87,87,87,87,,87,,87,87,87,87
Seychelles,87,87,87,87,87,87,,,87,87,87,87,87,87,87,87,87,87,87,87,87
Syria,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
Turks and Caicos Islands,,87,87,87,,,87,,,,87,87,87,87,87,87,87,87,87,87,
Chad,,,37,33,34,41,,36,42,49,54,58,57,58,60,56,52,55,59,60,54
Togo,55,,57,57,61,64,66,54,63,62,57,60,61,58,61,68,80,81,81,86,79
Thailand,22,32,32,35,37,40,41,40,42,51,55,55,52,55,59,55,64,74,80,84,82
Tajikistan,20,25,29,62,33,41,42,53,57,69,72,78,77,69,77,81,81,79,75,74,52
Tokelau,,,,,,,,,,,,,,,,80,,,,,0
Turkmenistan,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,67
Timor-Leste,,,60,68,77,76,71,63,62,89,,79,68,65,63,56,59,56,60,63,48
Tonga,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,76
Trinidad and Tobago,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Tunisia,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,62
Turkey,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,69
Tuvalu,87,87,87,87,,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,86
Tanzania,32,35,34,35,33,31,30,30,30,32,32,32,35,39,38,39,42,46,53,59,64
Uganda,46,57,63,67,68,64,63,63,64,62,63,67,63,63,59,54,54,55,65,75,68
Ukraine,59,64,68,130,,67,71,66,69,69,67,71,90,84,74,74,75,73,75,75,55
Uruguay,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
USA,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Uzbekistan,64,65,71,80,65,68,77,66,59,70,61,57,56,81,73,67,67,72,72,73,55
St. Vincent and the Grenadines,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,170
Venezuela,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,69
British Virgin Islands,87,87,87,87,87,,,,,,87,,,87,,,,,87,,
Vietnam,38,39,41,40,43,43,44,45,46,47,48,49,52,52,53,55,56,58,57,60,58
Vanuatu,75,75,75,76,66,44,76,72,62,81,71,68,78,77,68,80,64,63,67,75,71
Wallis et Futuna,,87,87,87,,87,,87,,87,,87,,87,,,,,,87,
Samoa,87,87,87,87,87,87,87,,87,87,87,87,87,87,87,87,87,87,87,87,110
Yemen,67,66,62,58,59,56,56,60,63,69,74,73,83,86,78,60,72,73,71,73,61
South Africa,44,38,48,46,49,46,50,50,55,57,56,58,53,53,53,52,52,58,58,58,58
Zambia,63,59,71,77,74,69,68,67,64,66,66,65,62,62,61,59,62,59,58,61,68
Zimbabwe,71,76,80,77,77,71,65,62,61,76,84,78,77,81,78,81,81,82,83,72,55
